playlist_genre,track_artist,track_href,uri,track_album_name,analysis_url,track_id,track_name,track_album_release_date,track_album_id,duration_ms,id
hip-hop,Post Malone,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg,spotify:track:7xQAfvXzm3AkraOtGPWIZg,Hollywood's Bleeding,https://api.spotify.com/v1/audio-analysis/7xQAfvXzm3AkraOtGPWIZg,7xQAfvXzm3AkraOtGPWIZg,Wow.,06-09-2019,4g1ZRSobMefqF6nelkgibi,149547,7xQAfvXzm3AkraOtGPWIZg
hip-hop,Gunna,https://api.spotify.com/v1/tracks/2EKL77lwxvo615Ga7VjEUl,spotify:track:2EKL77lwxvo615Ga7VjEUl,HIM ALL ALONG,https://api.spotify.com/v1/audio-analysis/2EKL77lwxvo615Ga7VjEUl,2EKL77lwxvo615Ga7VjEUl,HIM ALL ALONG,18-10-2024,5HoNV9xqGbGufrIFH271dR,158667,2EKL77lwxvo615Ga7VjEUl
hip-hop,"Travis Scott, Justin Bieber, Young Thug",https://api.spotify.com/v1/tracks/6Yqmv7XJLCrQEauMbPGZSw,spotify:track:6Yqmv7XJLCrQEauMbPGZSw,Rodeo,https://api.spotify.com/v1/audio-analysis/6Yqmv7XJLCrQEauMbPGZSw,6Yqmv7XJLCrQEauMbPGZSw,Maria I'm Drunk (feat. Justin Bieber & Young Thug),04-09-2015,4PWBTB6NYSKQwfo79I3prg,349933,6Yqmv7XJLCrQEauMbPGZSw
hip-hop,A Boogie Wit da Hoodie,https://api.spotify.com/v1/tracks/2FTeQQ5Rg9tBpgpTF5mnhE,spotify:track:2FTeQQ5Rg9tBpgpTF5mnhE,Artist,https://api.spotify.com/v1/audio-analysis/2FTeQQ5Rg9tBpgpTF5mnhE,2FTeQQ5Rg9tBpgpTF5mnhE,Still Think About You,16-09-2016,2OQEAqShAl6SodrGhmYZ4Z,246988,2FTeQQ5Rg9tBpgpTF5mnhE
hip-hop,"Juice WRLD, Marshmello",https://api.spotify.com/v1/tracks/2Y0wPrPQBrGhoLn14xRYCG,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,Legends Never Die,https://api.spotify.com/v1/audio-analysis/2Y0wPrPQBrGhoLn14xRYCG,2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),10-07-2020,6n9DKpOxwifT5hOXtgLZSL,205485,2Y0wPrPQBrGhoLn14xRYCG
hip-hop,Lil Tecca,https://api.spotify.com/v1/tracks/6rjuKpPydT2SxN15TZpV7r,spotify:track:6rjuKpPydT2SxN15TZpV7r,TEC,https://api.spotify.com/v1/audio-analysis/6rjuKpPydT2SxN15TZpV7r,6rjuKpPydT2SxN15TZpV7r,500lbs,22-09-2023,4EURMuWFiLLRmQYoH5cgiE,144390,6rjuKpPydT2SxN15TZpV7r
hip-hop,Post Malone,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,Hollywood's Bleeding,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,Circles,06-09-2019,4g1ZRSobMefqF6nelkgibi,215280,21jGcNKet2qwijlDFuPiPb
hip-hop,Baby Keem,https://api.spotify.com/v1/tracks/1Is8hGpkGMiePASAxBluxM,spotify:track:1Is8hGpkGMiePASAxBluxM,The Melodic Blue,https://api.spotify.com/v1/audio-analysis/1Is8hGpkGMiePASAxBluxM,1Is8hGpkGMiePASAxBluxM,16,10-09-2021,3r46DPIQeBQbjvjjV5mXGg,156040,1Is8hGpkGMiePASAxBluxM
hip-hop,Post Malone,https://api.spotify.com/v1/tracks/5w40ZYhbBMAlHYNDaVJIUu,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,Chemical,https://api.spotify.com/v1/audio-analysis/5w40ZYhbBMAlHYNDaVJIUu,5w40ZYhbBMAlHYNDaVJIUu,Chemical,14-04-2023,7qcSUc5Af63mhfTF60KTEA,184013,5w40ZYhbBMAlHYNDaVJIUu
korean,Stevie Wonder,https://api.spotify.com/v1/tracks/6RNDeRnWsRMjPdNVgupZCs,spotify:track:6RNDeRnWsRMjPdNVgupZCs,At The Close Of A Century,https://api.spotify.com/v1/audio-analysis/6RNDeRnWsRMjPdNVgupZCs,6RNDeRnWsRMjPdNVgupZCs,I Just Called To Say I Love You,23-11-1999,04giHQ9zptJUHUvtIyxL9Z,262240,6RNDeRnWsRMjPdNVgupZCs
korean,"CHANYEOL, Punch",https://api.spotify.com/v1/tracks/1HYzRuWjmS9LXCkdVHi25K,spotify:track:1HYzRuWjmS9LXCkdVHi25K,"Guardian (Original Television Soundtrack), Pt. 1",https://api.spotify.com/v1/audio-analysis/1HYzRuWjmS9LXCkdVHi25K,1HYzRuWjmS9LXCkdVHi25K,Stay With Me,03-12-2016,6Pr1DaOWfT6hEewhZMRyqg,192441,1HYzRuWjmS9LXCkdVHi25K
korean,George Benson,https://api.spotify.com/v1/tracks/0vB4Vd6PtkJSEnWsmqATnZ,spotify:track:0vB4Vd6PtkJSEnWsmqATnZ,20/20,https://api.spotify.com/v1/audio-analysis/0vB4Vd6PtkJSEnWsmqATnZ,0vB4Vd6PtkJSEnWsmqATnZ,Nothing's Gonna Change My Love for You,15-01-1985,23HV3deh17hOFNg3OKmGnW,242679,0vB4Vd6PtkJSEnWsmqATnZ
